SourceID,NearID
1,2
1,14
1,15
14,1
14,2
14,15
14,27
14,28
27,14
27,15
27,28
27,40
27,41
40,27
40,28
40,41
40,53
40,54
53,40
53,41
53,54
53,66
53,67
2,1
2,3
2,14
2,15
2,16
15,1
15,2
15,3
15,14
15,16
15,27
15,28
15,29
28,14
28,15
28,16
28,27
28,29
28,40
28,41
28,42
41,27
41,28
41,29
41,40
41,42
41,53
41,54
41,55
54,40
54,41
54,42
54,53
54,55
54,66
54,67
54,68
3,2
3,4
3,15
3,16
3,17
16,2
16,3
16,4
16,15
16,17
16,28
16,29
16,30
29,15
29,16
29,17
29,28
29,30
29,41
29,42
29,43
42,28
42,29
42,30
42,41
42,43
42,54
42,55
42,56
55,41
55,42
55,43
55,54
55,56
55,67
55,68
55,69
4,3
4,5
4,16
4,17
4,18
17,3
17,4
17,5
17,16
17,18
17,29
17,30
17,31
30,16
30,17
30,18
30,29
30,31
30,42
30,43
30,44
43,29
43,30
43,31
43,42
43,44
43,55
43,56
43,57
56,42
56,43
56,44
56,55
56,57
56,68
56,69
56,70
5,4
5,6
5,17
5,18
5,19
18,4
18,5
18,6
18,17
18,19
18,30
18,31
18,32
31,17
31,18
31,19
31,30
31,32
31,43
31,44
31,45
44,30
44,31
44,32
44,43
44,45
44,56
44,57
44,58
57,43
57,44
57,45
57,56
57,58
57,69
57,70
57,71
6,5
6,7
6,18
6,19
6,20
19,5
19,6
19,7
19,18
19,20
19,31
19,32
19,33
32,18
32,19
32,20
32,31
32,33
32,44
32,45
32,46
45,31
45,32
45,33
45,44
45,46
45,57
45,58
45,59
58,44
58,45
58,46
58,57
58,59
58,70
58,71
58,72
66,53
66,54
66,67
66,79
66,80
79,66
79,67
79,80
79,92
79,93
92,79
92,80
92,93
92,105
92,106
105,92
105,93
105,106
67,53
67,54
67,55
67,66
67,68
67,79
67,80
67,81
80,66
80,67
80,68
80,79
80,81
80,92
80,93
80,94
93,79
93,80
93,81
93,92
93,94
93,105
93,106
93,107
106,92
106,93
106,94
106,105
106,107
68,54
68,55
68,56
68,67
68,69
68,80
68,81
68,82
81,67
81,68
81,69
81,80
81,82
81,93
81,94
81,95
94,80
94,81
94,82
94,93
94,95
94,106
94,107
94,108
107,93
107,94
107,95
107,106
107,108
69,55
69,56
69,57
69,68
69,70
69,81
69,82
69,83
82,68
82,69
82,70
82,81
82,83
82,94
82,95
82,96
95,81
95,82
95,83
95,94
95,96
95,107
95,108
95,109
108,94
108,95
108,96
108,107
108,109
70,56
70,57
70,58
70,69
70,71
70,82
70,83
70,84
83,69
83,70
83,71
83,82
83,84
83,95
83,96
83,97
96,82
96,83
96,84
96,95
96,97
96,108
96,109
96,110
109,95
109,96
109,97
109,108
109,110
71,57
71,58
71,59
71,70
71,72
71,83
71,84
71,85
84,70
84,71
84,72
84,83
84,85
84,96
84,97
84,98
97,83
97,84
97,85
97,96
97,98
97,109
97,110
97,111
110,96
110,97
110,98
110,109
110,111
7,6
7,8
7,19
7,20
7,21
20,6
20,7
20,8
20,19
20,21
20,32
20,33
20,34
33,19
33,20
33,21
33,32
33,34
33,45
33,46
33,47
21,7
21,8
21,9
21,20
21,22
21,33
21,34
21,35
34,20
34,21
34,22
34,33
34,35
34,46
34,47
34,48
8,7
8,9
8,20
8,21
8,22
9,8
9,10
9,21
9,22
9,23
22,8
22,9
22,10
22,21
22,23
22,34
22,35
22,36
35,21
35,22
35,23
35,34
35,36
35,47
35,48
35,49
10,9
10,11
10,22
10,23
10,24
23,9
23,10
23,11
23,22
23,24
23,35
23,36
23,37
36,22
36,23
36,24
36,35
36,37
36,48
36,49
36,50
46,32
46,33
46,34
46,45
46,47
46,58
46,59
46,60
59,45
59,46
59,47
59,58
59,60
59,71
59,72
59,73
47,33
47,34
47,35
47,46
47,48
47,59
47,60
47,61
60,46
60,47
60,48
60,59
60,61
60,72
60,73
60,74
48,34
48,35
48,36
48,47
48,49
48,60
48,61
48,62
61,47
61,48
61,49
61,60
61,62
61,73
61,74
61,75
49,35
49,36
49,37
49,48
49,50
49,61
49,62
49,63
62,48
62,49
62,50
62,61
