FID,OID,DID,VAL
596,341000,310000,10007
983,360700,431000,10031
809,350600,360700,10136
1764,440600,450700,10143
1257,421000,422800,10192
689,341600,320100,10196
753,350200,440300,10200
1260,421000,429006,10201
1421,430200,360800,10349
1538,430900,430400,10408
1386,429021,422800,10423
1212,420700,421200,10430
627,341100,321100,10451
94,320200,330900,10531
987,360700,440500,10561
184,320600,330400,10598
1353,429005,420500,10619
2124,522600,430500,10684
1010,360800,440300,10733
355,330400,320600,10777
716,341700,361100,10821
153,320500,340200,10825
1294,421200,420700,10848
227,320900,321300,10887
274,321300,320900,10900
1505,430700,420500,10936
607,341000,340800,10993
697,341600,341500,11026
97,320200,341100,11040
434,330900,320200,11069
1371,429006,421000,11147
278,321300,340300,11172
1510,430700,430300,11249
1479,430500,441800,11285
1546,431000,360700,11297
2073,451100,440300,11330
538,340500,310000,11378
897,360300,360100,11397
76,320100,341700,11436
541,340500,320400,11466
1176,420500,430700,11497
1053,361100,341700,11539
1390,430100,360100,11581
2054,450700,440800,11583
1478,430500,440100,11603
514,340300,321300,11630
659,341300,320500,11679
1341,429004,420800,11700
1157,420300,611000,11763
1099,411700,420100,11802
425,330800,331000,11922
128,320400,340500,11938
169,320500,411400,11984
170,320500,411500,12001
2170,820000,440700,12034
1123,420100,430600,12161
714,341700,360400,12170
1430,430200,430900,12207
701,341700,320100,12384
36,310000,341200,12411
2009,445200,360700,12470
31,310000,340500,12529
376,330500,330700,12529
1284,421100,421200,12547
542,340500,320500,12560
1032,361000,350700,12569
818,350700,330800,12617
878,360100,430100,12649
1707,440300,445100,12732
551,340500,341800,12849
2169,820000,440600,12888
2001,445100,440300,12889
1297,421200,421100,12948
1106,420100,411700,12956
1172,420500,429005,13022
75,320100,341600,13111
156,320500,340500,13134
1788,440700,820000,13136
1773,440600,820000,13156
70,320100,341000,13157
1536,430900,430200,13180
1325,422800,421000,13223
2155,611000,420300,13265
254,321100,341100,13281
796,350500,361000,13283
828,350700,361000,13421
1238,420900,421000,13423
1606,433100,430500,13443
15,310000,321300,13454
776,350400,350600,13517
1486,430600,420100,13530
480,340100,340600,13574
1992,442000,451100,13593
464,331100,330200,13676
323,330200,331100,13683
1466,430400,441900,13685
444,330900,331000,13760
1072,371100,320300,13847
1330,422800,430700,13867
419,330800,330200,13869
454,331000,330900,13903
358,330400,330300,13904
588,340800,341000,13904
519,340300,341200,13936
1020,360900,360700,13940
2031,445300,450700,13982
2077,451100,441900,13996
556,340600,340100,13997
429,330800,350700,14111
727,341800,340500,14155
1381,429021,420600,14176
1234,420900,420500,14177
481,340100,340700,14234
1935,441900,360800,14340
532,340400,341100,14350
33,310000,340800,14371
1094,411500,421100,14388
266,321300,310000,14450
1667,440200,441300,14486
1030,361000,350400,14529
1194,420600,429021,14540
972,360700,350400,14555
1896,441600,440600,14581
1568,431100,440300,14585
1825,440900,440400,14673
632,341100,340400,14703
597,341000,320100,14723
453,331000,330800,14843
1831,440900,442000,14851
400,330700,330500,14879
570,340700,340100,14884
1108,420100,420300,14924
1089,411500,340100,15012
2022,445300,440300,15053
2046,450400,441900,15138
804,350600,350400,15154
1734,440500,360700,15160
420,330800,330300,15272
2061,450800,442000,15303
1682,440300,360800,15314
10,310000,320800,15320
1929,441800,442000,15369
192,320700,321000,15383
973,360700,350500,15484
1477,430500,433100,15532
1853,441300,440200,15574
320,330200,330800,15602
1081,411300,421300,15633
554,340600,320300,15709
970,360700,350200,15768
